Symbol,Name, LastSale , MarketCap ,IPOyear,Sector,Industry,StockUrl
ALSK,"Alaska Communications Systems Group, Inc.",$2.16 , $226.57M ,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALBO,"Albireo Pharma, Inc.",$36.03 , $402.27M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,$7.59 , $108.05M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",$13.30 , $902.32M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",$7.00 , $133.82M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",$113.97 , $25.27B ,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",$27.65 , $228.09M ,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",$233.73 , $18.74B ,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",$1.10 , $76.06M ,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",$3.06 , $115.12M ,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,$54.69 , $8.41B ,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",$38.40 , $506.17M ,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,$164.25 , $2.61B ,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALNA,"Allena Pharmaceuticals, Inc.",$6.30 , $130.22M ,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
AHGP,"Alliance Holdings GP, L.P.",$26.83 , $1.61B ,2006,Energy,Coal Mining,https://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",$0.67 , $8.42M ,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",$18.35 , $2.4B ,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",$1.89 , $7.59M ,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",$32.01 , $302.59M ,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",$1.73 , $8.63M ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,$5.30 , $175.51M ,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",$14.16 , $2.56B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,$57.20 , $798.97M ,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",$119.26 , $11.89B ,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,$13.94 , $333.84M ,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,"$1,052.10 ", $731.52B ,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,"$1,054.14 ", $732.94B ,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,$25.09 , $27.6M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",$3.28 , $54.85M ,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",$9.61 , $133.4M ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,$29.41 , $10.29M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/swin
AMR,"Alta Mesa Resources, Inc.",$8.24 , $3.15B ,2017,Finance,Business Services,https://www.nasdaq.com/symbol/amr
AMRWW,"Alta Mesa Resources, Inc.",$1.97 , n/a ,2017,Finance,Business Services,https://www.nasdaq.com/symbol/amrww
AABA,Altaba Inc.,$71.31 , $62.28B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,$25.72 , $1.62B ,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",$1.40 , $21.91M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,$25.32 , $453.35M ,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,$45.80 , $1.34B ,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",$13.70 , $484.63M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,$3.53 , $1.03B ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",$11.02 , $77.49M ,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.","$1,414.51 ", $684.77B ,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",$14.91 , $674.69M ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",$6.15 , n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",$47.38 , $1.58B ,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,$51.59 , $3.19B ,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,$65.27 , $9.39B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,$2.67 , $8.21M ,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,$55.03 , $1.87B ,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
UHAL,Amerco,$351.96 , $6.9B ,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",$1.89 , $29.97M ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",$0.65 , n/a ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",$6.10 , $367.54M ,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",$17.77 , $58.69B ,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",$50.87 , $24.34B ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",$10.80 , $108M ,2014,n/a,n/a,https://www.nasdaq.com/symbol/acsf
AETI,"American Electric Technologies, Inc.",$1.35 , $11.7M ,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",$36.95 , $319.52M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,$117.90 , $3.18B ,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,$10.17 , $550.34M ,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",$25.60 , $416.46M ,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",$37.93 , $723.85M ,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,$15.12 , $92.72M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",$11.65 , $351.28M ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,$4.60 , $96.31M ,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,$129.05 , $2.26B ,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
CRMT,"America';s Car-Mart, Inc.",$44.90 , $321.04M ,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,$52.60 , $1.97B ,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",$57.85 , $1.11B ,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,$4.15 , $75.23M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,$27.70 , n/a ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,$26.60 , $247.67M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,$175.94 , $127.03B ,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",$14.62 , $2.44B ,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",$10.03 , $2.4B ,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",$18.41 , $846.41M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,$43.85 , n/a ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",$8.12 , $120.94M ,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",$12.79 , $2.51B ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",$5.20 , $223.77M ,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",$84.34 , $31.44B ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,$79.60 , $993.79M ,1972,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/alog
ANAB,"AnaptysBio, Inc.",$114.16 , $2.68B ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,$2.54 , $113.22M ,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,$24.80 , $61.6M ,2011,Finance,Banks,https://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,$10.29 , $35.41M ,2015,Finance,Business Services,https://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,$1.32 , n/a ,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,$16.04 , n/a ,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,$1.71 , n/a ,2015,Finance,Business Services,https://www.nasdaq.com/symbol/andaw
